Epochs,rmse_values_train,rmse_values_valid
1,7.944234761966651,7.902376307293012
2,7.344119762294723,7.3341355141304625
3,7.1997220161386215,7.192693356118868
4,7.151222034236081,7.1604562519827555
5,7.121901498210893,7.144970534447746
6,7.099689608510607,7.131752280250176
7,7.0823707166259675,7.120448261838122
8,7.06882998027756,7.1113853292722355
9,7.058211810170119,7.10439502555068
10,7.0498692020033005,7.099125991315503
